exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,mes_referencia,cod_conta,conta,valor
2023,RREO,1,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-11,jan,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3583501356.75
2023,RREO,1,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-10,fev,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3822746622.76
2023,RREO,1,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-9,mar,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3689218647.98
2023,RREO,1,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-8,abr,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3478363853.08
2023,RREO,1,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-7,mai,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3861017396.19
2023,RREO,1,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-6,jun,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3417732051.2
2023,RREO,1,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-5,jul,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3707044681.09
2023,RREO,1,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-4,ago,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3253725922.44
2023,RREO,1,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-3,set,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,2931419768.78
2023,RREO,1,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-2,out,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3243256849.15
2023,RREO,1,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-1,nov,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3364949095.16
2023,RREO,1,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR,dez,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,2855161628.34
2023,RREO,2,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-11,jan,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3689218647.98
2023,RREO,2,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-10,fev,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3478363853.08
2023,RREO,2,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-9,mar,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3861017396.19
2023,RREO,2,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-8,abr,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3417732051.2
2023,RREO,2,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-7,mai,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3707044681.09
2023,RREO,2,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-6,jun,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3253725922.44
2023,RREO,2,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-5,jul,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,2931419768.78
2023,RREO,2,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-4,ago,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3243256849.15
2023,RREO,2,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-3,set,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3364949095.16
2023,RREO,2,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-2,out,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,2855161628.34
2023,RREO,2,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-1,nov,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3296031118.78
2023,RREO,2,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR,dez,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3684096656.1
2023,RREO,3,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-11,jan,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3861017396.19
2023,RREO,3,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-10,fev,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3417732051.2
2023,RREO,3,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-9,mar,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3707044681.09
2023,RREO,3,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-8,abr,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3253725922.44
2023,RREO,3,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-7,mai,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,2931419768.78
2023,RREO,3,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-6,jun,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3243256849.15
2023,RREO,3,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-5,jul,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3364949095.16
2023,RREO,3,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-4,ago,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,2855161628.34
2023,RREO,3,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-3,set,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3296031118.78
2023,RREO,3,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-2,out,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3684096656.1
2023,RREO,3,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-1,nov,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3607158294.63
2023,RREO,3,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR,dez,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3570698009.98
2023,RREO,4,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-11,jan,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3707044681.09
2023,RREO,4,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-10,fev,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3253725922.44
2023,RREO,4,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-9,mar,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,2931419768.78
2023,RREO,4,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-8,abr,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3243256849.15
2023,RREO,4,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-7,mai,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3364949095.16
2023,RREO,4,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-6,jun,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,2855161628.34
2023,RREO,4,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-5,jul,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3296031118.78
2023,RREO,4,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-4,ago,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3684096656.1
2023,RREO,4,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-3,set,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3607158294.63
2023,RREO,4,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-2,out,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3570698009.98
2023,RREO,4,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-1,nov,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3602911774.12
2023,RREO,4,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR,dez,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3943652171.65
2023,RREO,5,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-11,jan,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,2931419768.78
2023,RREO,5,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-10,fev,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3243256849.15
2023,RREO,5,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-9,mar,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3364949095.16
2023,RREO,5,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-8,abr,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,2855161628.34
2023,RREO,5,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-7,mai,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3296031118.78
2023,RREO,5,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-6,jun,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3684096656.1
2023,RREO,5,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-5,jul,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3607158294.63
2023,RREO,5,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-4,ago,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3570698009.98
2023,RREO,5,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-3,set,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3602911774.12
2023,RREO,5,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-2,out,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3943652171.65
2023,RREO,5,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-1,nov,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,4072014723.48
2023,RREO,5,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR,dez,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3908755232.17
2023,RREO,6,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-11,jan,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3364949095.16
2023,RREO,6,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-10,fev,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,2855161628.34
2023,RREO,6,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-9,mar,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3296031118.78
2023,RREO,6,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-8,abr,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3684096656.1
2023,RREO,6,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-7,mai,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3607158294.63
2023,RREO,6,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-6,jun,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3570698009.98
2023,RREO,6,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-5,jul,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3602911774.12
2023,RREO,6,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-4,ago,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3943652171.65
2023,RREO,6,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-3,set,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,4072014723.48
2023,RREO,6,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-2,out,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,3908755232.17
2023,RREO,6,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR-1,nov,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,4041798621.9
2023,RREO,6,B,Governo do Estado do Paraná,41,PR,11597484,RREO-Anexo 03,E,Padrão,MR,dez,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,4662107482.51
